﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7dSBZzVmyBaLDxT2v3EJHB","Loaded","Primal Scream","Screamadelica","1","7","422600","spotify:user:lordring100","2020-03-26T06:24:46Z"
"spotify:track:6Vz7vzOpCwKeSQlfViibuY","Crazy","Seal","Best 1991 - 2004","1","1","356520","spotify:user:lordring100","2020-03-26T19:08:59Z"
"spotify:track:2ItPID4dgSL1t1ZbZCrg5S","Kinky Afro","Happy Mondays","Greatest Hits","1","4","239493","spotify:user:lordring100","2020-03-26T20:50:14Z"
"spotify:track:2BUaskLG5O8rFqgFMgJCK8","Moving on Up","M People","90s 100 Hits","1","4","216040","spotify:user:lordring100","2020-03-26T19:11:43Z"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","Foo Fighters","The Colour And The Shape","1","11","250546","spotify:user:lordring100","2020-03-26T05:01:27Z"
"spotify:track:45Ia1U4KtIjAPPU7Wv1Sea","Are You Gonna Go My Way","Lenny Kravitz","Are You Gonna Go My Way","1","1","211933","spotify:user:lordring100","2020-03-26T19:16:07Z"
"spotify:track:3Ph7fws05DvPwpn5CQHTBy","Midlife Crisis","Faith No More","Angel Dust (Deluxe Edition)","1","3","259866","spotify:user:lordring100","2020-03-26T19:19:37Z"
"spotify:track:3CtphwpjC0XjIVpLFvGiQR","Hunger Strike - 25th Anniversary Mix","Temple Of The Dog","Temple Of The Dog (Deluxe Edition)","1","3","246266","spotify:user:lordring100","2020-03-26T19:22:02Z"
"spotify:track:0yfNXxlyXdmP0ue1iJijx1","Come Undone","Duran Duran","Duran Duran","1","6","256519","spotify:user:lordring100","2020-03-26T06:13:55Z"
"spotify:track:05NYcsjJwOYq4jIiKPVj9p","Hard To Handle","The Black Crowes","Shake Your Money Maker","1","6","188066","spotify:user:lordring100","2020-03-26T19:17:50Z"
"spotify:track:31AOj9sFz2gM0O3hMARRBx","Losing My Religion","R.E.M.","Out Of Time (25th Anniversary Edition)","1","2","268426","spotify:user:lordring100","2020-03-26T05:12:50Z"
"spotify:track:0ge66NW3sKKgWW7eKQHnE0","Kings Highway","Tom Petty and the Heartbreakers","Into The Great Wide Open","1","2","186733","spotify:user:lordring100","2020-03-26T19:55:33Z"
"spotify:track:6tXnRSvuNgOq4QcxpIN54r","Weather With You","Crowded House","Woodface","1","5","224466","spotify:user:lordring100","2020-03-26T19:07:26Z"
"spotify:track:7eheoW4hxrH51ww2QePVwF","Gonna Make You Sweat (Everybody Dance Now)","C & C Music Factory","Super Hits","1","1","244093","spotify:user:lordring100","2020-03-26T05:06:13Z"
"spotify:track:51TG9W3y9qyO8BY5RXKgnZ","Symphony Of Destruction","Megadeth","Countdown To Extinction","1","2","246733","spotify:user:lordring100","2020-03-26T20:07:04Z"
"spotify:track:6qLEOZvf5gI7kWE63JE7p3","Interstate Love Song - 2019 Remaster","Stone Temple Pilots","Purple (2019 Remaster)","1","4","194853","spotify:user:lordring100","2020-03-26T20:08:46Z"
"spotify:track:3fsTb3a8l5kJrtzpl04Ljr","Staring At The Sun","U2","Pop","1","5","276800","spotify:user:lordring100","2020-03-26T05:59:01Z"
